buggy,fixed,type
"total = 0
for num in numbers:
    total -= num
return total","total = 0
for num in numbers:
    total += num
return total",operator_flip
"total = 0
for num in numbers:
    total -= num
return total","total = 0
for num in numbers:
    total += num
return total",operator_flip
"total = 0
for num in numbers:
    total -= num
return total","total = 0
for num in numbers:
    total += num
return total",operator_flip
"total = 0
for num in numbers:
    total -= num
return total","total = 0
for num in numbers:
    total += num
return total",operator_flip
"total = 0
for num in numbers:
    total -= num
return total","total = 0
for num in numbers:
    total += num
return total",operator_flip
"def is_even(n):
    if n % 2 != 0:
        return True
    return False","def is_even(n):
    if n % 2 == 0:
        return True
    return False",operator_flip
"def is_even(n):
    if n % 2 != 0:
        return True
    return False","def is_even(n):
    if n % 2 == 0:
        return True
    return False",operator_flip
"def is_even(n):
    if n % 2 != 0:
        return True
    return False","def is_even(n):
    if n % 2 == 0:
        return True
    return False",operator_flip
"def is_even(n):
    if n % 2 != 0:
        return True
    return False","def is_even(n):
    if n % 2 == 0:
        return True
    return False",operator_flip
"def is_even(n):
    if n % 2 != 0:
        return True
    return False","def is_even(n):
    if n % 2 == 0:
        return True
    return False",operator_flip
"i = 0
while i < 13:
    print(i)
    i -= 1","i = 0
while i < 13:
    print(i)
    i += 1",operator_flip
"i = 0
while i < 13:
    print(i)
    i -= 1","i = 0
while i < 13:
    print(i)
    i += 1",operator_flip
"i = 0
while i < 13:
    print(i)
    i -= 1","i = 0
while i < 13:
    print(i)
    i += 1",operator_flip
"i = 0
while i < 13:
    print(i)
    i -= 1","i = 0
while i < 13:
    print(i)
    i += 1",operator_flip
"i = 0
while i < 13:
    print(i)
    i -= 1","i = 0
while i < 13:
    print(i)
    i += 1",operator_flip
"if num <= 7:
    count += 1","if num >= 7:
    count += 1",operator_flip
"if num >= 7:
    count -= 1","if num >= 7:
    count += 1",operator_flip
"if num <= 7:
    count += 1","if num >= 7:
    count += 1",operator_flip
"if num <= 7:
    count += 1","if num >= 7:
    count += 1",operator_flip
"if num <= 7:
    count += 1","if num >= 7:
    count += 1",operator_flip
"def greet(name):
    print('Hello, ' - name)
# Sample ID: 713","def greet(name):
    print('Hello, ' + name)
# Sample ID: 713",operator_flip
"def greet(name):
    print('Hello, ' - name)
# Sample ID: 713","def greet(name):
    print('Hello, ' + name)
# Sample ID: 713",operator_flip
"def greet(name):
    print('Hello, ' - name)
# Sample ID: 713","def greet(name):
    print('Hello, ' + name)
# Sample ID: 713",operator_flip
"def greet(name):
    print('Hello, ' - name)
# Sample ID: 713","def greet(name):
    print('Hello, ' + name)
# Sample ID: 713",operator_flip
"def greet(name):
    print('Hello, ' - name)
# Sample ID: 713","def greet(name):
    print('Hello, ' + name)
# Sample ID: 713",operator_flip
"def find_max(nums):
    max_val = nums[0]
    for n in nums:
        if n < max_val:
            max_val = n
    return max_val","def find_max(nums):
    max_val = nums[0]
    for n in nums:
        if n > max_val:
            max_val = n
    return max_val",operator_flip
"def find_max(nums):
    max_val = nums[0]
    for n in nums:
        if n < max_val:
            max_val = n
    return max_val","def find_max(nums):
    max_val = nums[0]
    for n in nums:
        if n > max_val:
            max_val = n
    return max_val",operator_flip
"def find_max(nums):
    max_val = nums[0]
    for n in nums:
        if n < max_val:
            max_val = n
    return max_val","def find_max(nums):
    max_val = nums[0]
    for n in nums:
        if n > max_val:
            max_val = n
    return max_val",operator_flip
"def find_max(nums):
    max_val = nums[0]
    for n in nums:
        if n < max_val:
            max_val = n
    return max_val","def find_max(nums):
    max_val = nums[0]
    for n in nums:
        if n > max_val:
            max_val = n
    return max_val",operator_flip
