task_name,instructional_prompt,raw_student_code,canonical_reference,proficiency,normalized_student_code,normalized_canonical_code
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"a = int(raw_input('Please enter your age:'))

if a <= 16:
	print 'Your fare is: 0.75 euro'
elif a >= 17 and a <= 20:
	print 'Your fare is: 1.25 euro'
elif a >= 21 and a <= 64:
	print 'Your fare is: 1.50 euro'
else:
	print 'You go free!'",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,a  =  int( ) if a  <  =  16: 'your fare is: 0.75 euro' elif a  >  =  17 and a  <  =  20: 'your fare is: 1.25 euro' elif a  >  =  21 and a  <  =  64: 'your fare is: 1.50 euro' else: 'you go free!',def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"a = int(raw_input('Please enter your age:'))

if a <= 16:
	print 'Your fare is: 0.75 euro'
elif a >= 17 and a <= 20:
	print 'Your fare is: 1.25 euro'
elif a >= 21 and a <= 64:
	print 'Your fare is: 1.5 euro'
else:
	print 'You go free!'",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,a  =  int( ) if a  <  =  16: 'your fare is: 0.75 euro' elif a  >  =  17 and a  <  =  20: 'your fare is: 1.25 euro' elif a  >  =  21 and a  <  =  64: 'your fare is: 1.5 euro' else: 'you go free!',def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"a = int(raw_input('Please enter your age:'))

if a <= 16:
	print 'Your fare is: 0.75 euro'.rsplit()
elif a >= 17 and a <= 20:
	print 'Your fare is: 1.25 euro'.rsplit()
elif a >= 21 and a <= 64:
	print 'Your fare is: 1.5 euro'.rsplit()
else:
	print 'You go free!'",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,a  =  int( ) if a  <  =  16: 'your fare is: 0.75 euro'.rsplit() elif a  >  =  17 and a  <  =  20: 'your fare is: 1.25 euro'.rsplit() elif a  >  =  21 and a  <  =  64: 'your fare is: 1.5 euro'.rsplit() else: 'you go free!',def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"age = input(""Please enter your age:"")

if age <= 16:
   print ""your fare is: 0.75 euro.""

elif 17 <= age <= 20:
   print ""your fare is: 1.25 euro.""

elif 21 <= age <= 64:
   print ""your fare is: 1.5 euro.""

else: 
   print ""You go free!""
   
",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,"age  =  if age  <  =  16: ""your fare is: 0.75 euro."" elif 17  <  =  age  <  =  20: ""your fare is: 1.25 euro."" elif 21  <  =  age  <  =  64: ""your fare is: 1.5 euro."" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n = input(""Please enter your age:"")
if n < 16:
   print ""0.75 euro""
elif 17 < n < 20:
   print ""1.25 euro""
elif 21 < n < 64:
   print ""1.50 euro""
else:
   print ""You go free!""
",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,"n  =  if n  <  16: ""0.75 euro"" elif 17  <  n  <  20: ""1.25 euro"" elif 21  <  n  <  64: ""1.50 euro"" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n = input(""Please enter your age:"")
if n < 16:
   print ""0.75 euro""
elif 17 <= n <= 20:
   print ""1.25 euro""
elif 21 <= n <= 64:
   print ""1.50 euro""
else:
   print ""You go free!""
",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,"n  =  if n  <  16: ""0.75 euro"" elif 17  <  =  n  <  =  20: ""1.25 euro"" elif 21  <  =  n  <  =  64: ""1.50 euro"" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n = input(""Please enter your age:"")
if n < 16:
   print ""0.75 euro""
elif 17 <= n <= 20:
   print ""1.25 euro""
elif 21 <= n <= 64:
   print ""1.5 euro""
else:
   print ""You go free!""
",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,"n  =  if n  <  16: ""0.75 euro"" elif 17  <  =  n  <  =  20: ""1.25 euro"" elif 21  <  =  n  <  =  64: ""1.5 euro"" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n = input(""Please enter your age:"")
if n < 16:
   print ""Your fare is: 0.75 euro""
elif 17 <= n <= 20:
   print ""Your fareis: 1.25 euro""
elif 21 <= n <= 64:
   print ""Your fare is: 1.5 euro""
else:
   print ""You go free!""
",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,"n  =  if n  <  16: ""your fare is: 0.75 euro"" elif 17  <  =  n  <  =  20: ""your fareis: 1.25 euro"" elif 21  <  =  n  <  =  64: ""your fare is: 1.5 euro"" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n = input(""Please enter your age:"")
if n < 16:
   print ""Your fare is: 0.75 euro.""
elif 17 <= n <= 20:
   print ""Your fareis: 1.25 euro.""
elif 21 <= n <= 64:
   print ""Your fare is: 1.5 euro.""
else:
   print ""You go free!""
",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,"n  =  if n  <  16: ""your fare is: 0.75 euro."" elif 17  <  =  n  <  =  20: ""your fareis: 1.25 euro."" elif 21  <  =  n  <  =  64: ""your fare is: 1.5 euro."" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"n = input(""Please enter your age:"")
if n < 16:
   print ""Your fare is: 0.75 euro.""
elif 17 <= n <= 20:
   print ""Your fare is: 1.25 euro.""
elif 21 <= n <= 64:
   print ""Your fare is: 1.5 euro.""
else:
   print ""You go free!""
",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,"n  =  if n  <  16: ""your fare is: 0.75 euro."" elif 17  <  =  n  <  =  20: ""your fare is: 1.25 euro."" elif 21  <  =  n  <  =  64: ""your fare is: 1.5 euro."" else: ""you go free!""",def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
01busfares.py,Write a program that takes a user's age as input and determines the bus fare based on the following rules: Ages 16 and under: 0.75 euro. Ages 17 through 20: 1.25 euro. Ages 21 through 64: 1.50 euro. Ages 65 and over: Free.,"age = input()
if int(age) < 17:
	V = 'Your fare is: 0.75 euro'
elif 16 < int(age) < 21:
	V = 'Your fare is: 1.25 euro'
elif 20 < int(age) < 65:
	V = 'Your fare is: 1.50 euro'
else:
	V = 'You go free!'
print 'Please enter your age:' + age
print V",def calculate_fare(age): if age <= 16: return 0.75 elif age <= 20: return 1.25 elif age <= 64: return 1.5 else: return 0.0,experienced,age  =  if int(age)  <  17: v  =  'your fare is: 0.75 euro' elif 16  <  int(age)  <  21: v  =  'your fare is: 1.25 euro' elif 20  <  int(age)  <  65: v  =  'your fare is: 1.50 euro' else: v  =  'you go free!' 'please enter your age:' + age v,def calculate_fare(age): if age  <  =  16: return 0.75 elif age  <  =  20: return 1.25 elif age  <  =  64: return 1.5 else: return 0.0
